sample,group_uid,objid,role,lgm,z,SN,sf_state,morphology4,sSFR,D4000n,sigma,p_E,p_S,core_size_kpc,group_Vdisp,parent_NbGal,group_is_RG4,ff_miles_lw_usable,ff_miles_lw_logz,ff_miles_lw_logz_unc,ff_miles_mw_logz,ff_elodie_lw_logz,ff_elodie_mw_logz,gallazzi_usable,gallazzi_logz_solar,ff_miles_lw_logage,ff_miles_lw_logage_unc,ff_miles_mw_logage,ff_elodie_lw_logage,gal_logage,gal_logage_unc
CG4,HMCG:25,1237655108898979844,BGG,11.13696,0.038103145,30.5532,Starforming,Spiral,-10.7542262,1.371164,178.7346,0.0179999992251396,0.98199999332428,151.45140529619457,138.73358378062295,,False,True,-0.07594282963262874,0.21285313552934268,-0.027185968217908463,-0.00036000557862243517,-0.00036000557862243517,True,-0.2743299956639813,9.925717518805296,0.09160531455437404,10.016072653766043,9.69696938594639,9.541,0.14654999999999951
CG4,HMCG:25,1237655108898914500,Satellite,10.40786,0.037864507,28.82646,Quenched,Elliptical,-11.769536,1.850285,117.3581,0.920000016689301,0.0610000006854534,151.45140529619457,138.73358378062295,,False,True,0.0383308008134032,0.08724490369399233,-0.10071575008869796,-0.059074962477950764,0.008226176896798528,True,-0.12542999566398128,9.888076498292898,0.08934477313664235,10.001178378004736,9.901808013769003,9.9506,0.0710999999999995
CG4,HMCG:25,1237655108898914492,Satellite,9.313793,0.038568193,10.74559,Starforming,Spiral,-9.5168569,1.183016,,0.158000007271767,0.757000029087067,151.45140529619457,138.73358378062295,,False,True,-0.13087399102014557,0.13453752856614826,-1.0233458920722236,-0.01805859406732937,-0.5513440673598253,False,,9.85299376741181,0.15754203708174686,10.135946071986599,9.71825000748787,,
CG4,HMCG:25,1237655108898980064,Satellite,9.284696,0.037563678,6.948121,Starforming,Spiral,-9.8350823,1.265969,119.6284,0.0070000002160668,0.992999970912933,151.45140529619457,138.73358378062295,,False,True,-0.2892746251283065,0.2806933192846218,-0.5617466441478661,-0.23145875648195138,-0.8298363053665552,False,,9.761853671421205,0.36093275331845387,10.05601210686494,9.827800122391524,,
CG4,HMCG:27,1237651533872496853,BGG,10.94254,0.044700583,34.98672,Quenched,Elliptical,-12.309705999999998,1.892867,159.4881,0.675999999046326,0.282000005245209,211.10510071197064,277.7185452426554,,False,True,0.24319337424724807,0.044824127669977246,0.2545906102675482,0.12439759440607599,0.0882328635448647,True,0.19787000433601865,9.734732960686676,0.11700528793112586,9.843761584967739,9.861926114738775,9.8388,0.10664999999999925
CG4,HMCG:27,1237651271887618101,Satellite,10.82927,0.046428481,34.62148,Quenched,NoGZ,-12.130374,1.860627,189.7935,,,211.10510071197064,277.7185452426554,,False,True,0.09756027280667182,0.059320015283234814,0.11118620289364924,-0.07939644884409477,-0.07251640661352583,True,0.07107000433601884,9.996827384024915,0.06643883017683994,10.067311195902008,10.113121424380246,9.8865,0.05769999999999964
CG4,HMCG:27,1237651271887618204,Satellite,9.714207,0.045765926,9.566511,Starforming,NoGZ,-10.3114879,1.282155,14.64783,,,211.10510071197064,277.7185452426554,,False,True,-0.027185968217908463,0.1567707012524363,-0.6425090077386855,-0.1549517826247632,-0.17177874325082548,False,,9.928285318440324,0.21325296618589817,10.137530389021181,9.827800122391524,,
CG4,HMCG:27,1237651533872496832,Satellite,9.640424,0.046666261,9.010636,Starforming,NoGZ,-9.905285,1.332909,60.50066,,,211.10510071197064,277.7185452426554,,False,True,0.06648321213101471,0.07529239849413048,-0.19377293476141427,-0.23640805378214774,-0.3006665564381726,False,,9.43621577725482,0.4692575775999295,10.059810974699683,9.804598709778968,,
CG4,HMCG:28,1237651192431902873,BGG,11.56605,0.045092908,41.07203,Quenched,Elliptical,-12.834793,1.9101,247.3817,0.882000029087067,0.025000000372529,189.73072281453588,111.41340432393416,,False,True,0.12003830018504674,0.02431345539159032,0.06895429106965624,0.1156348048624115,0.10894469627808792,True,0.28467000433601886,9.923134446511261,0.09228411741580178,9.96272628603807,9.87946862756803,9.828,0.08399999999999963
CG4,HMCG:28,1237651192431902934,Satellite,10.74845,0.045297238,17.87079,Quenched,Spiral,-11.3384873,1.664415,90.53558,0.0,0.672999978065491,189.73072281453588,111.41340432393416,,False,True,0.09524713375865783,0.10550978275166271,-0.06574371018214456,-0.1231358190374761,-0.055778624700305444,False,0.07027000433601871,9.474249199254539,0.24983986799568303,9.605280367167877,9.772822470495177,9.7856,0.13529999999999998
